region,date,consumption
Bretagne,2022-01-01,2406
Bretagne,2022-01-02,2433
Bretagne,2022-01-03,2980
Bretagne,2022-01-04,3268
Bretagne,2022-01-05,3689
Bretagne,2022-01-06,3768
Bretagne,2022-01-07,3562
Bretagne,2022-01-08,3145
Bretagne,2022-01-09,3048
Bretagne,2022-01-10,3256
Bretagne,2022-01-11,3257
Bretagne,2022-01-12,3254
Bretagne,2022-01-13,3381
Bretagne,2022-01-14,3887
Bretagne,2022-01-15,3581
Bretagne,2022-01-16,3191
Bretagne,2022-01-17,3494
Bretagne,2022-01-18,3728
Bretagne,2022-01-19,3672
Bretagne,2022-01-20,3657
Bretagne,2022-01-21,3839
Bretagne,2022-01-22,3569
Bretagne,2022-01-23,3319
Bretagne,2022-01-24,3933
Bretagne,2022-01-25,4138
Bretagne,2022-01-26,4090
Bretagne,2022-01-27,3952
Bretagne,2022-01-28,3527
Bretagne,2022-01-29,3050
Bretagne,2022-01-30,2837
Bretagne,2022-01-31,3396
Bretagne,2022-02-01,3434
Bretagne,2022-02-02,3335
Bretagne,2022-02-03,3399
Bretagne,2022-02-04,3330
Bretagne,2022-02-05,3118
Bretagne,2022-02-06,2820
Bretagne,2022-02-07,3098
Bretagne,2022-02-08,3213
Bretagne,2022-02-09,3318
Bretagne,2022-02-10,3379
Bretagne,2022-02-11,3568
Bretagne,2022-02-12,3316
Bretagne,2022-02-13,3017
Bretagne,2022-02-14,3292
Bretagne,2022-02-15,3473
Bretagne,2022-02-16,3175
Bretagne,2022-02-17,3007
Bretagne,2022-02-18,3087
Bretagne,2022-02-19,3092
Bretagne,2022-02-20,2770
Bretagne,2022-02-21,3269
Bretagne,2022-02-22,3177
Bretagne,2022-02-23,3298
Bretagne,2022-02-24,3298
Bretagne,2022-02-25,3402
Bretagne,2022-02-26,3017
Bretagne,2022-02-27,2896
